TIPO;DESCRIÇÃO;FREQUENCIA;TEMPO
VIRUS;Chikungunya;"5000, 600 145, 600; 267,300 ; 587,300; 142,600";00:40:00
VIRUS;Zika Vírus;"727, 600; 5000,600;213,600; 516,600";00:40:00
VIRUS;chicken pox, shingles  ;"664*, 180 3343, 180; 914,180; 2170,180; 1600,180; 1500,180; 880,180; 802,180; 787,180";00:27:00
VIRUS;Herpes simples;"1141, 600; 1350, 600";00:20:00
;CVM;"126,180
597,180 
1045,180 
2145,180";00:12:00
;Hepatite geral;"28, 180
1550, 180
1351, 180
880, 180
802, 180
727, 180
224, 180
317, 180
329, 180
477, 180
922, 180";00:33:00
;Rhinopneumonltis ;"185,180 
367,180
820,180";00:09:00
;HIV;"683,180 
714,180 
3554,180";00:09:00
;Grippe;"343,180 
500,180 
512,180 
541,180 
862,180 
1000,180 
1192,180 
3012,180 
3423,180 
10223,180";00:30:00
;# Streptococcus virus:;"563,180 
611,180 
727,180
";00:09:00
VIRUS;Epstein Barre virus (EBV);"1484, 600; 1465,600";00:20:00
VIRUS;Prions ;"150, 180; 250, 180; 567.2, 180; 743.2, 180; 951, 180; 960, 180; 970.3, 180; 978.1, 180; 984, 180; 984, 180";00:30:00
VIRUS;HPV - Papilloma virus;"45, 180;   489, 180; 874, 180; 907, 180; 16970, 180; 265, 180; 5657, 180; 3203, 180; 1011, 180; 9258, 180; 3083, 180; 1051, 180; 9609, 180; 466, 180; 110, 180; 767, 180; 404, 180";00:51
VIRUS;Dengue parte 1 ;"464, 180
440, 180
3672, 180
7766, 180
7760, 180
7344, 180
1234, 180
5000, 180
727, 180
787, 180";00:35:00
VIRUS;Dengue parte 2;"800, 180
875, 180
880, 180
885, 180
728, 180
1550, 180
1500, 180
2008, 180
20, 180
728, 180
440, 180
465, 180
613, 180
666, 180";00:40:00
VIRUS;herpes zoster secundário ;"1550, 180
802, 180
1800, 180
1865, 180
728, 180
2720, 180
2128, 180
5000, 180
464, 180
800, 180
574, 180
1557, 180
304, 180
20, 180";00:42:00
VIRUS;Herpes Zoster ;"1557,180 
574,180";00:06:00
VIRUS;dengue ;"464, 180
440, 180
3672, 180
7766, 180
7760, 180
7344, 180
1234, 180
5000, 180
727, 180
787, 180
800, 180
875, 180
880, 180
885, 180
728, 180
1550, 180
1500, 180
2008, 180
20, 180
728, 180
440, 180
465, 180
613, 180
666, 180
727, 180
787, 180
800, 180
1000, 180
5000, 180
10000, 180";01:30:00
VIRUS;Coronavirus 2019, 2020, 2021;"# 2021
1555, 180
3218, 180
569, 180
1447, 180
# 2020
1551,   180
3312,   180
4722,   180
146,    600
147,    180";
