Microrganismo,Frequência (Hz),Tempo (s),Data de alteração
Adenovírus,333,180,
Adenovírus,523,180,
Adenovírus,666,180,
Adenovírus,786,180,
Adenovírus,768,180,
Adenovírus,959,180,
Adenovírus,962,180,
Adenovírus,10000,180,
Adenovírus,7767,180,
Adenovírus,7762,180,
Adenovírus,7702,180,
Adenovírus,7009,180,
Adenovírus,7001,180,
Adenovírus,6989,180,
Adenovírus,5000,180,
Adenovírus,4868,180,
Adenovírus,2720,180,
Adenovírus,2050,180,
Adenovírus,1500,180,
Adenovírus,1395,180,
Adenovírus,1062,180,
Adenovírus,1060,180,
Adenovírus,1034,180,
Adenovírus,1009,180,
Adenovírus,969,180,
Adenovírus,968,180,
Adenovírus,962,180,
Adenovírus,959,180,
Adenovírus,960,180,
Adenovírus,952,180,
Adenovírus,951,180,
Adenovírus,942,180,
Adenovírus,880,180,
Adenovírus,1550,180,
Adenovírus,802,180,
Adenovírus,787,180,
Adenovírus,768,180,
Adenovírus,728,180,
Adenovírus,690,180,
Adenovírus,660,180,
Adenovírus,555,180,
Adenovírus,523,180,
Adenovírus,522,180,
Adenovírus,1865,180,
Adenovírus,444,180,
Adenovírus,333,180,
Adenovírus,300,180,
Adenovírus,180,180,
Adenovírus,160,180,
Adenovírus,125,180,
Adenovírus,95,180,
Adenovírus,72,180,
Adenovírus,60,180,
Adenovírus,48,180,
Adenovírus,26,180,
Adenovírus,20,180,
Adenovírus,28729.05,180,
Adenovírus,16628.88,180,
Adenovírus,18471,180,
Adenovírus,18670.15,180,
Adenovírus,19566.32,180,
Adenovírus,1407.93,180,
Adenovírus,827.9,180,
Adenovírus,919.62,180,
Adenovírus,929.53,180,
Adenovírus,974.15,180,
Adenovírus,7849,180,
Adenovírus,7847,180,
Adenovírus,1730,180,
Adenovírus,1722,180,
Adenovírus,1552,180,
Adenovírus,1550,180,
Adenovírus,1320,180,
Adenovírus,1244,180,
Adenovírus,1000,180,
Adenovírus,957,180,
Adenovírus,934,180,
Adenovírus,856,180,
Adenovírus,840,180,
Adenovírus,832,180,
Adenovírus,804,180,
Adenovírus,802,180,
Adenovírus,800,180,
Adenovírus,799,180,
Adenovírus,776,180,
Adenovírus,642,180,
Adenovírus,634,180,
Adenovírus,556,180,
Adenovírus,548,180,
Adenovírus,413,180,
Adenovírus,333,180,
Adenovírus,330,180,
Adenovírus,327,180,
Adenovírus,289,180,
Adenovírus,282,180,
Adenovírus,10000,180,
Adenovírus,7344,180,
