Nome,Frequências,Tempos
Adenovírus,"333.0,523.0,666.0,786.0,768.0,959.0,962.0,10000.0,7767.0,7762.0,7702.0,7009.0,7001.0,6989.0,5000.0,4868.0,2720.0,2050.0,1500.0,1395.0,1062.0,1060.0,1034.0,1009.0,969.0,968.0,962.0,959.0,960.0,952.0,951.0,942.0,880.0,1550.0,802.0,787.0,768.0,728.0,690.0,660.0,555.0,523.0,522.0,1865.0,444.0,333.0,300.0,180.0,160.0,125.0,95.0,72.0,60.0,48.0,26.0,20.0,28729.05,16628.88,18471.0,18670.15,19566.32,1407.93,827.9,919.62,929.53,974.15,7849.0,7847.0,1730.0,1722.0,1552.0,1550.0,1320.0,1244.0,1000.0,957.0,934.0,856.0,840.0,832.0,804.0,802.0,800.0,799.0,776.0,642.0,634.0,556.0,548.0,413.0,333.0,330.0,327.0,289.0,282.0,10000.0,7344.0,4412.0,3176.0,2489.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Ancilostoma Duodenale,"5000,","600,"
Ascaris Lumbricoides,"1594,","600,"
Candida Glabrata,"3176,2642,1403","600,600,600"
Candida glabrata,"3176,2642,1403","600,600,600"
Candida Krusei,"3176.0,2644.0,1403.0,1151.0,943.0,886.0,877.0,866.0,762.0,742.0,661.0,465.0,464.0,450.0,414.0,412.0,386.0,381.0,254.2,120.0,95.0,64.0,20.0,880.0,95.0,125.0,20.0,60.0,225.0,427.0,240.0,650.0,688.0,152.0,442.0,8146.0,751.0,1146.0,1403.0,675.0,709.0,10000.0,5000.0,3176.0,2489.0,1395.0,1276.0,1160.0,1044.0,928.0,877.0,812.0,728.0,696.0,580.0,465.0,464.0,381.0,348.0,232.0,116.0,58.0,20.0,1403.0,675.0,709.0,2167.0,2128.0,2182.0,465.0,20.0,60.0,95.0,125.0,225.0,427.0,464.0,727.0,19217.0,81.0,956.0,80.0,2167.0,2128.0,2182.0,465.0,72.0,422.0,582.0,727.0,787.0,802.0,1016.0,1134.0,1153.0,1550.0,2222.0,412.0,543.0,2128.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Clostridium Perfringens,"5000,","600,"
Cryptococcus neoformans,"367.0,428.0,444.0,476.0,478.0,522.0,579.0,594.0,785.0,792.0,872.0,2121.0,5880.0,5884.0,597.0,613.0,624.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Enterobius Vermicularis,"1652,","600,"
Escherichia coli,"7849.0,7847.0,1730.0,1722.0,1552.0,1550.0,1320.0,1244.0,1000.0,957.0,934.0,856.0,840.0,832.0,804.0,802.0,800.0,799.0,776.0,642.0,634.0,556.0,548.0,413.0,333.0,330.0,327.0,289.0,282.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
